               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.037892,           0.0084022,                   0,             0.95744,              0.9781,             0.98853,             0.61037,            0.027315,           0.0048455,                   0,           0.0025683,           0.0025683,            0.044668
                 145,            0.041229,           0.0093037,                   0,             0.94675,             0.98913,              0.9819,             0.69617,            0.023332,           0.0049368,                   0,           0.0025541,           0.0025541,            0.044254
                 146,            0.028533,           0.0082976,                   0,             0.96768,             0.97826,              0.9873,             0.74473,            0.023114,           0.0047285,                   0,           0.0025395,           0.0025395,            0.043839
                 147,            0.032878,           0.0081088,                   0,             0.95788,             0.98872,             0.98393,             0.59648,            0.026656,           0.0047094,                   0,           0.0025246,           0.0025246,            0.043425
                 148,            0.033395,           0.0082412,                   0,             0.97755,             0.97826,             0.98598,             0.64314,            0.023352,           0.0046415,                   0,           0.0025094,           0.0025094,            0.043009
                 149,            0.030598,           0.0080447,                   0,             0.97775,             0.95652,             0.98843,             0.72417,            0.021158,           0.0048084,                   0,           0.0024938,           0.0024938,            0.042594
                 150,            0.029272,           0.0079182,                   0,             0.97778,              0.9564,             0.98974,             0.72089,            0.022666,           0.0047714,                   0,            0.002478,            0.002478,            0.042178
                 151,            0.029175,            0.007648,                   0,             0.97752,             0.94542,             0.98853,             0.70049,            0.024731,           0.0048598,                   0,           0.0024618,           0.0024618,            0.041762
                 152,            0.031824,           0.0083768,                   0,              0.9764,             0.92391,             0.98672,             0.65785,            0.023637,           0.0048108,                   0,           0.0024454,           0.0024454,            0.041345
                 153,            0.032158,           0.0082764,                   0,             0.97776,             0.95652,             0.99057,             0.72643,            0.019464,           0.0047389,                   0,           0.0024287,           0.0024287,            0.040929
                 154,            0.028541,           0.0076947,                   0,             0.97773,             0.95652,             0.98867,             0.64278,            0.026157,           0.0047042,                   0,           0.0024117,           0.0024117,            0.040512
                 155,            0.029612,           0.0072436,                   0,             0.97776,             0.95652,             0.98892,             0.69738,            0.024414,           0.0046131,                   0,           0.0023945,           0.0023945,            0.040094
                 156,            0.030681,           0.0077789,                   0,             0.95787,             0.98855,             0.98893,             0.68977,            0.023905,           0.0046727,                   0,            0.002377,            0.002377,            0.039677
                 157,            0.029021,           0.0096182,                   0,             0.97778,             0.95642,             0.99037,             0.76154,            0.019486,           0.0046619,                   0,           0.0023592,           0.0023592,            0.039259
                 158,            0.027534,           0.0078456,                   0,             0.93877,             0.99992,             0.98872,             0.68417,            0.021447,           0.0047432,                   0,           0.0023412,           0.0023412,            0.038841
                 159,            0.027165,           0.0070311,                   0,             0.97727,             0.94565,             0.98818,             0.72015,            0.021717,           0.0046874,                   0,            0.002323,            0.002323,            0.038423
                 160,            0.028438,           0.0077963,                   0,             0.93868,                   1,             0.99044,             0.74993,            0.020351,           0.0046912,                   0,           0.0023045,           0.0023045,            0.038005
                 161,            0.026552,           0.0087786,                   0,             0.93862,                   1,             0.99006,             0.75952,            0.020105,           0.0046285,                   0,           0.0022858,           0.0022858,            0.037586
